titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image,boxoffice
Life Of The Party,2018-08-14,Comédie,105,Ben Falcone,-,"Melissa McCarthy,Gillian Jacobs,Maya Rudolph",U.S.A.,Anglais,Long-métrage,2018,15,"Quand son mari la quitte, Deanna décide de reprendre sa vie en main. Elle retourne à l'Université et se retrouve dans la même classe que sa fille. Entre les soirées et le vie de campus Deanna va retrouver sa liberté et profiter de cette année...",246533,https://fr.web.img5.acsta.net/c_310_420/pictures/18/03/27/09/11/3608059.jpg,17886075
Ultra Rêve,2018-08-15,Drame_Fantastique,82,Bertrand Mandico,UFO Distribution,"Lucas Domejean,Nicolas Mias,Pablo Cobo",France,Français,Long-métrage,2018,8,Programme de 3 courts métrages de Caroline Poggi et Jonathan Vinel - Yann Gonzalez - Bertrand Mandico.,265698,https://fr.web.img6.acsta.net/c_310_420/pictures/18/06/25/15/18/1355572.jpg,1761
Le Monde est à toi,2018-08-15,Action_Comédie,101,Romain Gavras,StudioCanal,"Karim Leklou,Isabelle Adjani,Vincent Cassel",France,Français,Long-métrage,2017,34,"François, petit dealer, a un rêve : devenir le distributeur officiel de Mr Freeze au Maghreb. Cette vie, qu’il convoite tant, vole en éclat quand il apprend que Dany, sa mère, a dépensé toutes ses économies. Poutine, le caïd lunatique de la cité propose à François un plan en Espagne pour se refaire. Mais quand tout son entourage : Lamya son amour de jeunesse, Henri un ancien beau-père à la ramasse tout juste sorti de prison, les deux jeunes Mohamed complotistes et sa mère chef d’un gang de femmes pickpockets, s’en mêle, rien ne va se passer comme prévu !",255993,https://fr.web.img6.acsta.net/c_310_420/pictures/18/06/27/12/24/2222279.jpg,155104
Equalizer 2,2018-08-15,Action_Drame,121,Antoine Fuqua,Sony Pictures Releasing France,"Denzel Washington,Pedro Pascal,Bill Pullman",U.S.A.,Anglais,Long-métrage,2018,12,Robert McCall continue de servir la justice au nom des exploités et des opprimés. Mais jusqu’où est-il prêt à aller lorsque cela touche quelqu’un qu’il aime ?,227364,https://fr.web.img6.acsta.net/c_310_420/pictures/18/05/15/12/24/4187958.jpg,359680
Il se passe quelque chose,2018-08-15,Drame,103,Anne Alix,Shellac,"Lola Dueñas,Bojena Horackova,Serge Geairain",France,Français,Long-métrage,2018,8,"Avignon. Irma, qui ne trouve plus sa place dans le monde, croise sur sa route Dolorès, une femme libre et décomplexée missionnée pour rédiger un guide touristique gay-friendly sur un coin de Provence oublié. L’improbable duo se lance sur les routes. Au lieu de la Provence pittoresque et sexy recherchée, elles découvrent un monde plus complexe et une humanité chaleureuse qui lutte pour exister. Pour chacune d’elle, c’est un voyage initiatique.",226809,https://fr.web.img4.acsta.net/c_310_420/pictures/18/07/25/09/59/1084216.jpg,3521
Papillon,2018-08-15,Aventure_Drame,117,Michael Noer,Metropolitan FilmExport,"Charlie Hunnam,Rami Malek,Eve Hewson",U.S.A.,Anglais,Long-métrage,2017,6,"Henri Charrière, dit ""Papillon"", malfrat de petite envergure des bas-fonds du Paris des années 30, est condamné à la prison à vie pour un meurtre qu'il n'a pas commis. Il est envoyé sur l'île du Diable, en Guyane. Il va faire la connaissance de Louis Dega qui, en échange de sa protection, va aider Papillon à tenter de s'échapper...",241608,https://fr.web.img2.acsta.net/c_310_420/pictures/18/07/05/17/23/3041132.jpg,45413
Sur la plage de Chesil,2018-08-15,Drame_Romance,110,Dominic Cooke,Mars Films,"Saoirse Ronan,Billy Howle,Anne-Marie Duff",U.S.A.,Anglais,Long-métrage,2017,17,"1962. Dans une Angleterre encore corsetée par des conventions sociales étouffantes, Florence et Edward, la petite vingtaine, viennent de se marier. Aussi inexpérimentés l'un que l'autre, ils passent leur première nuit ensemble dans un hôtel guindé sous l'œil un rien moqueur du personnel. Totalement tétanisés à l'idée de faire le moindre faux-pas, ils se souviennent, chacun, de leur rencontre. Florence, brillante violoniste élevée dans une famille fortunée et conservatrice, était tombée sous le charme d'Edward, aspirant écrivain issu d'un milieu plus modeste…",182822,https://fr.web.img5.acsta.net/c_310_420/pictures/18/05/15/14/59/1451694.jpg,13322
Under The Tree,2018-08-15,Comédie_Drame,89,Hafsteinn Gunnar Sigurðsson,Bac Films,"Steinþór Hróar Steinþórsson,Edda Björgvinsdóttir,Sigurður Sigurjónsson",Islande,Islandais,Long-métrage,2017,14,"Atli, accusé d'adultère par sa femme, est forcé d’emménager chez ses parents. Il se retrouve malgré lui plongé au sein d'une querelle de voisinage, dont le déclencheur est l'ombre imposante d'un arbre entre les deux maisons. Leur banal conflit se transforme en guerre sans pitié.",258358,https://fr.web.img6.acsta.net/c_310_420/pictures/18/07/03/09/36/3230157.jpg,9073
Le Père d'Italia,2018-08-15,Comédie dramatique,92,Fabio Mollo,Paris Black Films,"Luca Marinelli,Isabella Ragonese,Anna Ferruzzo",Italie,Italien,Long-métrage,2017,4,"Paolo est un jeune homme homosexuel solitaire et introverti qui travaille comme vendeur dans un magasin de Turin. Ce dernier vient de rompre avec son petit ami qui voulait se marier et fonder une famille. Un soir, Mia, une jeune femme enceinte de 6 mois, s'évanouit dans ses bras. Paolo va l'aider et l'héberger chez lui...",259896,https://fr.web.img6.acsta.net/c_310_420/pictures/18/04/30/09/50/2231233.jpg,1940
Alpha,2018-08-22,Aventure_Drame,96,Albert Hughes,Sony Pictures Releasing France,"Kodi Smit-McPhee,Jóhannes Haukur Jóhannesson,Marcin Kowalczyk",U.S.A.,Anglais,Long-métrage,2018,5,"En Europe, il y a 20 000 ans, durant l'ère Paléolithique supérieur, un jeune homme part braver une nature dangereuse et inhospitalière afin de retrouver le chemin de sa tribu.",242772,https://fr.web.img4.acsta.net/c_310_420/pictures/18/06/22/09/39/3485248.jpg,93087
En eaux troubles,2018-08-22,Action_Thriller,114,Jon Turteltaub,Warner Bros. France,"Jason Statham,Bingbing Li,Rainn Wilson",U.S.A.,Anglais,Long-métrage,2018,19,"Au cœur de l’océan Pacifique, le sous-marin d’une équipe de chercheurs a été attaqué par une créature gigantesque qu’on croyait disparue : le Megalodon, un requin préhistorique de 23 mètres de long.",58275,https://fr.web.img6.acsta.net/c_310_420/pictures/18/07/12/17/23/0011138.jpg,710798
Silent Voice,2018-08-22,Animation_Drame_Romance,129,Naoko Yamada,Art House,"Miyu Irino,Saori Hayami,Aoi Yūki",Japon,Japonais,Long-métrage,2018,159,"Nishimiya est une élève douce et attentionnée. Chaque jour, pourtant, elle est harcelée par Ishida, car elle est sourde. Dénoncé pour son comportement, le garçon est à son tour mis à l'écart et rejeté par ses camarades. Des années plus tard, il apprend la langue des signes... et part à la recherche de la jeune fille.",254955,https://fr.web.img6.acsta.net/c_310_420/pictures/18/07/13/11/32/3961973.jpg,33202
La Belle,2018-08-22,Comédie dramatique,65,Arūnas Žebriūnas,Ed Distribution,"Inga Mickyte,Lilija Zhadeikyte,Arvidas Samukas",Lituanie,Lituanien,Long-métrage,1969,7,"Les enfants du quartier jouent souvent à un jeu: ils forment un cercle au centre duquel l’un d’entre eux danse pendant que les autres lui adressent des compliments. Inga, une petite fille sympathique et honnête qui vit avec sa mère célibataire, en reçoit en général beaucoup. Pour cette raison, on la surnomme « la belle ». Mais cela ne va pas durer : un nouveau garçon s’installe dans le quartier. Malpoli, il ne s’intègre pas bien. Et comme il n’aime pas les taches de rousseur d’Inga, il lui dit qu’elle est laide, ce qui la blesse profondément. Elle part à la recherche de la vraie beauté...",6615,https://fr.web.img4.acsta.net/c_310_420/pictures/18/06/29/11/35/2435318.jpg,1200
O grande circo místico,2018-08-22,Drame_Romance,104,Carlos Diegues,Bodega Films,"Jesuíta Barbosa,Bruna Linzmeyer,Mariana Ximenes",Brésil,Portugais,Long-métrage,2018,12,"D’un amour contrarié entre un aristocrate et une envoûtante trapéziste naît un siècle de vie d’un cirque au Brésil, à travers plusieurs générations d’artistes audacieux, talentueux, passionnés, magiques et décadents.",223353,https://fr.web.img6.acsta.net/c_310_420/pictures/18/05/15/12/29/0702360.jpg,3133
BlacKkKlansman - J'ai infiltré le Ku Klux Klan,2018-08-22,Biopic_Policier,136,Spike Lee,Universal Pictures International France,"John David Washington,Adam Driver,Topher Grace",U.S.A.,Anglais,Long-métrage,2018,35,"Au début des années 70, au plus fort de la lutte pour les droits civiques, plusieurs émeutes raciales éclatent dans les grandes villes des États-Unis. Ron Stallworth devient le premier officier Noir américain du Colorado Springs Police Department, mais son arrivée est accueillie avec scepticisme, voire avec une franche hostilité, par les agents les moins gradés du commissariat. Prenant son courage à deux mains, Stallworth va tenter de faire bouger les lignes et, peut-être, de laisser une trace dans l'histoire. Il se fixe alors une mission des plus périlleuses : infiltrer le Ku Klux Klan pour en dénoncer les exactions.",258805,https://fr.web.img6.acsta.net/c_310_420/o_club-allocine-310x420.png_0_se/pictures/18/06/18/15/48/0814411.jpg,407099
Shaft,2018-08-28,Action_Comédie,111,Tim Story,Netflix France,"Samuel L. Jackson,Jessie T. Usher,Regina Hall",U.S.A.,Anglais,Long-métrage,2019,54,,235640,https://fr.web.img4.acsta.net/c_310_420/pictures/19/02/06/08/15/4431903.jpg,8901419
Breaking In,2018-08-29,Thriller,88,James McTeigue,Universal Pictures International France,"Gabrielle Union,Billy Burke,Richard Cabral",U.S.A.,Anglais,Long-métrage,2018,35,Une femme va se battre pour sauver ses deux enfants retenus en otage dans une maison impénétrable. Rien ni personne ne pourra empêcher cette mère déterminée de venir à bout de sa mission.,256640,https://fr.web.img5.acsta.net/c_310_420/pictures/18/08/08/11/00/3162204.jpg,285
Reine d'un été,2018-08-29,Aventure_Famille,67,Joya Thome,Les Films du Préau,"Lisa Moell,Denny Sonnenschein,Salim Fazzani",Allemagne,Allemand,Long-métrage,2017,11,"Les vacances viennent de commencer et Léa, 10 ans, n’a pas envie de partir en colonie car elle ne partage plus vraiment les centres d’intérêt des filles de son âge. Une après-midi, elle découvre une bande de garçons en train de construire un radeau et tente de se joindre à eux mais ils n’acceptent pas les filles... Quand ils la mettent au défi de prouver son courage et sa détermination, c’est le début d’un été riche en aventures.",259095,https://fr.web.img6.acsta.net/c_310_420/pictures/18/05/25/09/47/0159687.jpg,3480
22 Miles,2018-08-29,Action_Thriller,95,Peter Berg,Metropolitan FilmExport,"Mark Wahlberg,Lauren Cohan,Iko Uwais",U.S.A.,Anglais,Long-métrage,2018,18,Un officier d’élite du renseignement américain tente d’exfiltrer un policier qui détient des informations compromettantes. Ils vont être traqués par une armée d’assassins tout au long des 22 miles les séparant de l’avion qui leur permettra de quitter le pays.,235886,https://fr.web.img5.acsta.net/c_310_420/pictures/18/08/08/15/23/5182038.jpg,119049
Braqueurs d'élite,2018-08-29,Action_Thriller,106,Steven Quale,EuropaCorp Distribution,"J.K. Simmons,Sullivan Stapleton,Clemens Schick",France,Anglais,Long-métrage,2017,48,"Une équipe de Navy Seals, en mission dans l'Europe en guerre, découvre au fin fond d'un lac un trésor d'une valeur inéstimable. Ils entreprennent de ramener l'or à la surface afin de le restituer aux habitants démunis. Mais, repérés par l'ennemi, ils ne disposeront que de quelques heures pour mener à bien leur opération.",228849,https://fr.web.img4.acsta.net/c_310_420/pictures/18/07/17/14/26/1056418.jpg,34416
Mar Gaye Oye Loko,2018-08-31,Comédie_Fantastique,122,Simerjit Singh,-,"Karamjit Anmol,Jaswinder Bhalla,Gurpreet Ghuggi",Inde,-,Long-métrage,2018,0,Tittu est fou de Simran. Mais le gangster Gill Baiji aussi est amoureux de la belle Simran. Tittu doit lui faire face pour gagner le cœur de Simran. Des têtes vont tomber !,251350,https://fr.web.img6.acsta.net/c_310_420/pictures/18/08/21/18/29/1542061.jpg,742
Photo De Famille,2018-09-05,Comédie_Drame,99,Cecilia Rouaud,SND,"Vanessa Paradis,Camille Cottin,Pierre Deladonchamps",France,Français,Long-métrage,2018,27,"Gabrielle, Elsa et Mao sont frères et sœurs, mais ne se côtoient pas. Surtout pas.",253584,https://fr.web.img3.acsta.net/c_310_420/pictures/18/11/22/14/07/3778816.jpg,226153
En Douce,2018-09-05,Comédie dramatique,60,Jean Jonasson,Cinéma Saint-André des Arts,"Estelle Graczyk,Maximilien Kiffer,Prune Lichtlé",France,Français,Long-métrage,2016,9,"A 24 ans, Sophia quitte la Bretagne à la recherche d’un job. Alternant voyages en train et séjours en Provence, elle se fixe finalement à Paris. Amitiés, amours, liaisons cachées, emploi de serveuse remplissent son quotidien. Mais les fins de mois tournent mal, et les amours tournent court. Comment devenir adulte dans une société qui, par son étroitesse, ses empêchements et ses limites, ne permet déjà pas vraiment de vivre sereinement sa jeunesse ?",265426,https://fr.web.img6.acsta.net/c_310_420/pictures/18/06/12/14/47/2916850.jpg,48
Sofia,2018-09-05,Drame,80,Meryem Benm’Barek,Memento Distribution,"Maha Alemi,Sarah Perles,Hamza Khafif",France,Français,Long-métrage,2018,28,"Sofia, 20 ans, vit avec ses parents à Casablanca. Suite à un déni de grossesse, elle se retrouve dans l’illégalité en accouchant d’un bébé hors mariage.",264010,https://fr.web.img6.acsta.net/c_310_420/pictures/18/06/29/10/07/4624933.jpg,32198
Invasion,2018-09-05,Thriller,140,Kiyoshi Kurosawa,Art House," Kaho,Shôta Sometani,Masahiro Higashide",Japon,Japonais,Long-métrage,2017,25,"Pourquoi tout le monde change-t-il soudainement de comportement ? Etsuko est-elle la seule à se rendre compte que son amie, son patron, son mari ne sont plus tout à fait les mêmes ? Peu à peu, elle réalise que les humains sont en train de perdre leurs émotions...",262198,https://fr.web.img5.acsta.net/c_310_420/pictures/18/06/20/17/53/3972513.jpg,12125
Searching - Portée disparue,2018-09-12,Drame_Thriller,102,Aneesh Chaganty,Sony Pictures Releasing France,"John Cho,Debra Messing,Michelle La",U.S.A.,Anglais,Long-métrage,2018,14,"Alors que Margot, 16 ans, a disparu, l’enquête ouverte ne donne rien et malgré les heures décisives qui s’écoulent, l’inspectrice chargée de l’affaire n’a pas le moindre indice. Le père, David, décide alors de mener ses propres recherches, en commençant par là où personne n’a encore regardé : l’ordinateur de sa fille.",261667,https://fr.web.img2.acsta.net/c_310_420/pictures/18/07/13/11/17/4339524.jpg,64588
Dovlatov,2018-09-12,Biopic_Drame,126,Aleksey German Jr.,Paradis Films,"Artur Beschastny,Milan Maric,Danila Kozlovsky",Russie,Russe,Long-métrage,2018,10,,261422,https://fr.web.img2.acsta.net/c_310_420/pictures/18/07/19/14/30/0779795.jpg,2334
Thunder Road,2018-09-12,Comédie_Drame,89,Jim Cummings (II),Paname Distribution,"Jim Cummings (II),Kendal Farr,Macon Blair",U.S.A.,Anglais,Long-métrage,2018,25,,248253,https://fr.web.img2.acsta.net/c_310_420/pictures/18/08/01/13/38/1702380.jpg,30216
Première année,2018-09-12,Drame,92,Thomas Lilti,Le Pacte,"Vincent Lacoste,William Lebghil,Michel Lerousseau",France,Français,Long-métrage,2018,34,"Antoine entame sa première année de médecine pour la troisième fois. Benjamin arrive directement du lycée, mais il réalise rapidement que cette année ne sera pas une promenade de santé. Dans un environnement compétitif violent, avec des journées de cours ardues et des nuits dédiées aux révisions plutôt qu'à la fête, les deux étudiants devront s’acharner et trouver un juste équilibre entre les épreuves d’aujourd’hui et les espérances de demain.",253927,https://fr.web.img6.acsta.net/c_310_420/pictures/18/05/14/17/51/5693900.jpg,341290
Peppermint,2018-09-12,Action_Thriller,95,Pierre Morel,Metropolitan FilmExport,"Jennifer Garner,John Ortiz,John Gallagher Jr.",U.S.A.,Anglais,Long-métrage,2018,12,"Riley North est une jeune mère de famille dont le mari et la petite fille viennent d’être assassinés par un gang. Face à système judiciaire corrompu qui remet en liberté les meurtriers qu’elle avait pourtant formellement identifiés, Riley décide de prendre les armes pour faire payer tous ceux qui, de prêt ou de loin, sont impliqués.",256044,https://fr.web.img4.acsta.net/c_310_420/pictures/18/07/03/10/24/4874391.jpg,85402
Les Déguns,2018-09-12,Comédie,92,Cyrille Droux,Apollo Films,"Karim Jebli,Nordine Salhi,Joseph Malerba",France,Français,Long-métrage,2018,135,"Après 4 saisons d’immense succès sur Youtube, les Déguns arrivent au cinéma. Nono et Karim, deux vrais « déguns » des quartiers de Marseille, se retrouvent enfermés dans un camp de redressement militaire suite à un cambriolage. Réussissant à s’évader, ils vont sillonner les routes de France pour rejoindre la copine de Karim à Saint-Tropez. Leur périple sera fait de rencontres plus improbables les unes que les autres...",266418,https://fr.web.img6.acsta.net/c_310_420/pictures/18/08/18/09/51/0711117.jpg,200357
Le Grand Perdu,2018-09-12,Drame,78,Avénarius d’Ardronville,Cinéma Saint-André des Arts,"Serge Blazevic,Nicolas de Lavergne,Erwan Ribard",France,Français,Long-métrage,2018,7,"Film métaphorique où un capitaine de navire,  rentré sur ses terres, apprend que lors d’une cérémonie à la mairie la médaille du meilleur citoyen de la ville a été accrochée à la poitrine d’un musicien médiocre de l’harmonie municipale. Fou de rage, il décide d’honorer un marginal, une sorte de « fou du village », dont les actes étranges et sympathiques méritent selon lui l’hommage de la cité. On observe ainsi la vie du ""Grand Perdu"".",265422,https://fr.web.img6.acsta.net/c_310_420/pictures/18/06/12/14/21/3735176.jpg,153
Le Poulain,2018-09-19,Comédie,97,Mathieu Sapin,Bac Films,"Alexandra Lamy,Finnegan Oldfield,Gilles Cohen",France,Français,Long-métrage,2017,22,,254724,https://fr.web.img3.acsta.net/c_310_420/pictures/18/07/30/10/22/1892308.jpg,92645
La Nonne,2018-09-19,Epouvante-horreur,97,Corin Hardy,Warner Bros. France,"Taissa Farmiga,Demian Bichir,Bonnie Aarons",U.S.A.,Anglais,Long-métrage,2018,15,"Quand on apprend le suicide d'une jeune nonne dans une abbaye roumaine, la stupéfaction est totale dans l'Église catholique. Le Vatican missionne aussitôt un prêtre au passé trouble et une novice pour mener l'enquête. Risquant leur vie, les deux ecclésiastiques doivent affronter une force maléfique qui bouscule leur foi et menace de détruire leur âme. Bientôt, l'abbaye est en proie à une lutte sans merci entre les vivants et les damnés…",248258,https://fr.web.img4.acsta.net/c_310_420/pictures/18/08/30/16/26/3768663.jpg,633713
Avant l'aurore,2018-09-19,Drame,105,Nathan Nicholovitch,New Story,"David D'Ingéo,Panna Nat,Viri Seng Samnang",France,Français,Long-métrage,2018,13,"Mirinda, un Français prostitué, vit au jour le jour dans les faubourgs de Phnom Penh.",237295,https://fr.web.img6.acsta.net/c_310_420/pictures/18/07/25/14/28/2222652.jpg,2541
Leave No Trace,2018-09-19,Drame,109,Debra Granik,Condor Distribution,"Thomasin McKenzie,Ben Foster,Jeff Kober",U.S.A.,Anglais,Long-métrage,2018,29,"Tom a 15 ans. Elle habite clandestinement avec son père dans la forêt qui borde Portland, Oregon. Limitant au maximum leurs contacts avec le monde moderne, ils forment une famille atypique et fusionnelle.",254171,https://fr.web.img3.acsta.net/c_310_420/pictures/18/08/01/10/27/5847243.jpg,21684
L'Amour est une fête,2018-09-19,Comédie,119,Cédric Anger,Mars Films,"Guillaume Canet,Gilles Lellouche,Michel Fau",France,Français,Long-métrage,2018,23,"Paris, 1982. Patrons d’un peep show, Le Mirodrome, criblés de dettes, Franck et Serge ont l’idée de produire des petits films pornographiques avec leurs danseuses pour relancer leur établissement. Le succès est au rendez-vous et ne tarde pas à attirer l’attention de leurs concurrents. Un soir, des hommes cagoulés détruisent le Mirodrome. Ruinés, Franck et Serge sont contraints de faire affaire avec leurs rivaux. Mais ce que ces derniers ignorent, c’est que nos deux « entrepreneurs » sont des enquêteurs chargés de procéder à un coup de filet dans le business du « X » parisien. C’est le début d’une aventure dans le cinéma pornographique du début des années quatre-vingt qui va les entraîner loin. Très loin...",255059,https://fr.web.img2.acsta.net/c_310_420/pictures/18/08/31/14/29/0252578.jpg,81674
La Prophétie de l'horloge,2018-09-26,Famille_Fantastique,106,Eli Roth,Universal Pictures International France,"Owen Vaccaro,Jack Black,Cate Blanchett",U.S.A.,Anglais,Long-métrage,2018,18,"Cette aventure magique raconte le récit frissonnant de Lewis, 10 ans, lorsqu’il part vivre chez son oncle dans une vieille demeure dont les murs résonnent d’un mystérieux tic-tac. Mais lorsque Lewis réveille les morts accidentellement dans cette ville, en apparence tranquille, c’est tout un monde secret de mages et de sorcières qui vient la secouer.",257034,https://fr.web.img2.acsta.net/c_310_420/pictures/18/08/31/16/45/5339696.jpg,243245
Un Peuple et son roi,2018-09-26,Drame_Historique,122,Pierre Schoeller,StudioCanal,"Gaspard Ulliel,Adèle Haenel,Louis Garrel",France,Français,Long-métrage,2017,35,"En 1789, un peuple est entré en révolution. Écoutons-le. Il a des choses à nous dire. UN PEUPLE ET SON ROI croise les destins d’hommes et de femmes du peuple, et de figures historiques. Leur lieu de rencontre est la toute jeune Assemblée nationale. Au coeur de l’histoire, il y a le sort du Roi et le surgissement de la République…",256870,https://fr.web.img2.acsta.net/c_310_420/pictures/18/08/02/12/06/1793783.jpg,133296
L'Ombre d'Emily,2018-09-26,Policier_Thriller,117,Paul Feig,Metropolitan FilmExport,"Anna Kendrick,Blake Lively,Henry Golding",U.S.A.,Anglais,Long-métrage,2018,16,Stephanie cherche à découvrir la vérité sur la soudaine disparition de sa meilleure amie Emily.,257022,https://fr.web.img6.acsta.net/c_310_420/pictures/18/08/24/20/41/4399259.jpg,103377
Forever My Girl,2018-09-26,Drame_Musical_Romance,108,Bethany Ashton Wolf,Koba Films,"Alex Roe,Jessica Rothe,Abby Ryder Fortson",U.S.A.,Anglais,Long-métrage,2018,18,"Le jour de leur mariage, Liam abandonne Josie, son amour de jeunesse devant l’autel… Huit ans plus tard, Liam est devenu une star de la chanson. Quand il apprend la mort d’un ami d’enfance, il quitte sa tournée pour assister aux funérailles. Liam revoit alors Josie pour la première fois depuis la brutale séparation. Il découvre avec surprise que Josie est mère d’une adorable fillette de 7 ans, Billy…",255793,https://fr.web.img6.acsta.net/c_310_420/pictures/18/07/11/15/21/1786216.jpg,4245490
Journal d'un disparu,2018-09-26,Drame,69,Emmanuel Ostrovski,Cinéma Saint-André des Arts,"Joseph Rottner,Gianni Buscarino,Valentino Benvenuti",France,Français,Long-métrage,2017,14,"Ulysse, un homme jeune encore, se retire dans une maison au pied de la montagne, sans savoir pourquoi il revient là. Au cœur de la forêt, il s’acharne à libérer un jardin enserré par les ronces. S’ouvre alors un monde ni vivant ni mort, là où naissent les sources, là où reviennent les absents…",265023,https://fr.web.img6.acsta.net/c_310_420/pictures/18/06/11/09/51/5081888.jpg,50
Hostile,2018-09-26,Epouvante-horreur,83,Mathieu Turi,Next Film Distribution,"Brittany Ashworth,Grégory Fitoussi,Javier Botet",France,Anglais,Long-métrage,2017,4,"Dans un monde en ruine après une catastrophe inconnue, l'espèce humaine tente de se reconstruire. Les survivants ne sortent que la journée car la nuit venue d’étranges créatures sortent pour chasser. Juliette est la seule à oser s’aventurer près des villes. Un jour, sur le chemin du retour, elle perd le contrôle de sa voiture. Lorsqu'elle reprend connaissance, elle est blessée, coincée dans son véhicule, et… IL FAIT NUIT.",241512,https://fr.web.img6.acsta.net/c_310_420/pictures/17/05/12/12/16/110478.jpg,1276
I Feel Good,2018-09-26,Comédie,103,Benoît Delépine,Ad Vitam,"Jean Dujardin,Yolande Moreau,Joseph Dahan",France,Français,Long-métrage,2017,33,"Monique dirige une communauté Emmaüs près de Pau. Après plusieurs années d’absence, elle voit débarquer son frère, Jacques, un bon à rien qui n’a qu’une obsession : trouver l’idée qui le rendra riche. Plus que des retrouvailles familiales, ce sont deux visions du monde qui s’affrontent.",257816,https://fr.web.img6.acsta.net/c_310_420/pictures/18/06/15/09/38/2883759.jpg,204931
Le Chant de la forêt,2018-09-30,Drame,114,João Salaviza,Ad Vitam,"Henrique Ihjãc Krahô,Kôtô Krahô",Brésil,Portugais,Long-métrage,2018,13,"Ce soir, dans la forêt qui encercle ce village au nord du Brésil, le calme règne.",264229,https://fr.web.img6.acsta.net/c_310_420/pictures/19/03/28/10/41/4712924.jpg,15093
Alad'2,2018-10-03,Comédie,98,Lionel Steketee,Pathé,"Kev Adams,Jamel Debbouze,Vanessa Guide",France,Français,Long-métrage,2018,15,"Après avoir libéré Bagdad de l’emprise de son terrible Vizir, Aladin s’ennuie au palais et ne s’est toujours pas décidé à demander en mariage la princesse. Mais un terrible dictateur, Shah Zaman, s’invite au Palais et annonce qu’il est venu prendre la ville et épouser la Princesse. Aladin n’a pas d’autre choix que de s’enfuir du Palais… Il va tenter de récupérer son ancien Génie et revenir en force pour libérer la ville et récupérer sa promise.",242449,https://fr.web.img5.acsta.net/c_310_420/pictures/18/06/28/13/57/4993195.jpg,851973
En mille morceaux,2018-10-03,Drame,82,Véronique Meriadec,Destiny Films,"Clémentine Célarié,Serge Riaboukine,Lily Mériadec",France,Français,Long-métrage,2018,7,"1977, Éric Gaubert assassine Olivier, l’enfant de Nicole Parmentier. Vingt-cinq ans plus tard, cette mère à la vie brisée donne rendez-vous au meurtrier de son fils qui vient de sortir de prison. Quel est le but de cette rencontre ? Une simple vengeance ou la volonté de comprendre ce qui a poussé cet homme à commettre l’irréparable ?",263339,https://fr.web.img3.acsta.net/c_310_420/pictures/18/09/07/14/01/4025933.png,2199
Amin,2018-10-03,Drame,91,Philippe Faucon,Pyramide Distribution,"Moustapha Mbengue,Emmanuelle Devos,Marème N'Diaye",France,Français,Long-métrage,2016,25,,248482,https://fr.web.img5.acsta.net/c_310_420/pictures/18/09/05/16/02/0893722.jpg,29714
Blindspotting,2018-10-03,Drame,95,Carlos Lopez Estrada,Metropolitan FilmExport,"Daveed Diggs,Rafael Casal,Janina Gavankar",U.S.A.,Anglais,Long-métrage,2018,23,"Encore trois jours pour que la liberté conditionnelle de Collin prenne fin. En attendant de retrouver une vie normale, il travaille comme déménageur avec Miles, son meilleur ami, dans un Oakland en pleine mutation.",261082,https://fr.web.img4.acsta.net/c_310_420/pictures/18/09/11/12/06/5634098.png,11971
Une fois comme jamais,2018-10-03,Comédie dramatique,78,Céline Pouillon,Cinéma Saint-André des Arts,"Catherine Carteret,Sarah Cohen,Manuel le Lièvre",France,Français,Long-métrage,2012,10,"Mamine, quatre-vingt-seize ans, dépérit en maison de retraite depuis des années. Jusqu’au jour où sa petite fille Julie vient la chercher pour la ramener passer quelques jours chez elle. Accompagnée de sa fille de dix ans, Julie croise sur sa route deux hommes en fuite. Un quatuor insolite s’installe autour de la grand-mère dans la petite maison qu’elle habitait autrefois. Entre humour et tendresse, des consciences se rééquilibrent…",265643,https://fr.web.img5.acsta.net/c_310_420/pictures/18/08/06/09/40/4490592.jpg,114
Le Cahier noir,2018-10-03,Drame_Historique_Romance,113,Valeria Sarmiento,Alfama Films,"Lou de Laâge,Stanislas Merhar,Niels Schneider",Portugal,Français,Long-métrage,2018,11,"Le récit des aventures, au crépuscule du XVIIIe siècle, d’un couple singulier formé par un petit orphelin aux origines mystérieuses et sa jeune nourrice italienne à la naissance pareillement incertaine.",261324,https://fr.web.img3.acsta.net/c_310_420/pictures/18/06/27/10/38/4555543.jpg,2520
La Saveur des ramen,2018-10-03,Drame,90,Eric Khoo,Art House / KMBO,"Takumi Saitoh,Jeanette Aw Ee-Ping,Mark Lee (III)",Japon,Japonais,Long-métrage,2018,20,"Masato, jeune chef de Ramen au Japon, a toujours rêvé de partir à Singapour pour retrouver le goût des plats que lui cuisinait sa mère quand il était enfant. Alors qu’il entreprend le voyage culinaire d’une vie, il découvre des secrets familiaux profondément enfouis. Trouvera-t-il la recette pour réconcilier les souvenirs du passé ?",257569,https://fr.web.img5.acsta.net/c_310_420/pictures/18/09/07/14/06/1444646.png,29450
